receptor,count_selected,mean_300,var_300,top50_count,top50_mean,top50_var,top20_count,top20_mean,top20_var,top10_count,top10_mean,top10_var,top05_count,top05_mean,top05_var,top03_count,top03_mean,top03_var
5ht1b,300,-12.457000,0.111651,150,-12.700667,0.097533,60,-12.988333,0.094031,30,-13.220000,0.078267,15,-13.440000,0.050400,9,-13.555556,0.049136
braf,300,-11.936333,0.090647,150,-12.150667,0.081966,60,-12.415000,0.079275,30,-12.646667,0.047156,15,-12.826667,0.023289,9,-12.922222,0.015062
fa7,300,-9.870667,0.066473,150,-10.056667,0.058589,60,-10.281667,0.056497,30,-10.446667,0.054489,15,-10.620000,0.046933,9,-10.733333,0.044444
jak2,300,-11.410667,0.091953,150,-11.627333,0.084520,60,-11.885000,0.088275,30,-12.090000,0.088900,15,-12.293333,0.089956,9,-12.444444,0.091358
parp1,300,-12.559667,0.108340,150,-12.793333,0.099422,60,-13.086667,0.091489,30,-13.280000,0.100933,15,-13.440000,0.149067,9,-13.577778,0.199506
